,Funding type
23338,Venture - Series Unknown
23339,Debt Financing
23340,Post-IPO Equity
23341,Venture - Series Unknown
23342,Series B
23343,Series B
23344,Venture - Series Unknown
23345,Seed
23346,Post-IPO Equity
23347,Venture - Series Unknown
23348,Venture - Series Unknown
23349,Post-IPO Debt
23350,Venture - Series Unknown
23351,Venture - Series Unknown
23352,Venture - Series Unknown
23353,Debt Financing
23354,Funding Round
23355,Series D
23356,Debt Financing
23357,Series B
23358,Series G
23359,Venture - Series Unknown
23360,Angel
23361,Private Equity
23362,Debt Financing
23363,Series A
23364,Equity Crowdfunding
23365,Venture - Series Unknown
23366,Convertible Note
23367,Seed
23368,Venture - Series Unknown
23369,Series A
23370,Seed
23371,Series A
23372,Series A
23373,Angel
23374,Seed
23375,Series C
23376,Private Equity
23377,Angel
23378,Angel
23379,Venture - Series Unknown
23380,Debt Financing
23381,Venture - Series Unknown
23382,Series A
23383,Venture - Series Unknown
23384,Venture - Series Unknown
23385,Post-IPO Equity
23386,Series A
23387,Debt Financing
23388,Seed
23389,Venture - Series Unknown
23390,Venture - Series Unknown
23391,Debt Financing
23392,Debt Financing
23393,Venture - Series Unknown
23394,Seed
23395,Series A
23396,Series B
23397,Venture - Series Unknown
23398,Series B
23399,Post-IPO Secondary
23400,Debt Financing
23401,Seed
23402,Seed
23403,Venture - Series Unknown
23404,Venture - Series Unknown
23405,Venture - Series Unknown
23406,Seed
23407,Seed
23408,Venture - Series Unknown
23409,Venture - Series Unknown
23410,Venture - Series Unknown
23411,Venture - Series Unknown
23412,Equity Crowdfunding
23413,Venture - Series Unknown
23414,Venture - Series Unknown
23415,Series C
23416,Series B
23417,Series B
23418,Venture - Series Unknown
23419,Debt Financing
23420,Post-IPO Equity
23421,Post-IPO Debt
23422,Venture - Series Unknown
23423,Venture - Series Unknown
23424,Venture - Series Unknown
23425,Series D
23426,Venture - Series Unknown
23427,Debt Financing
23428,Venture - Series Unknown
23429,Venture - Series Unknown
23430,Series C
23431,Debt Financing
23432,Debt Financing
23433,Venture - Series Unknown
23434,Venture - Series Unknown
23435,Debt Financing
23436,Debt Financing
23437,Debt Financing
23438,Venture - Series Unknown
23439,Venture - Series Unknown
23440,Venture - Series Unknown
23441,Venture - Series Unknown
23442,Venture - Series Unknown
23443,Venture - Series Unknown
23444,Seed
23445,Equity Crowdfunding
23446,Venture - Series Unknown
23447,Debt Financing
23448,Venture - Series Unknown
23449,Seed
23450,Debt Financing
23451,Seed
23452,Seed
23453,Series B
23454,Seed
23455,Debt Financing
23456,Venture - Series Unknown
23457,Seed
23458,Debt Financing
23459,Seed
23460,Post-IPO Debt
23461,Venture - Series Unknown
23462,Debt Financing
23463,Post-IPO Equity
23464,Private Equity
23465,Series B
23466,Post-IPO Equity
23467,Venture - Series Unknown
23468,Venture - Series Unknown
23469,Post-IPO Equity
23470,Grant
23471,Series B
23472,Venture - Series Unknown
23473,Non-equity Assistance
23474,Series C
23475,Debt Financing
23476,Venture - Series Unknown
23477,Venture - Series Unknown
23478,Grant
23479,Series C
23480,Grant
23481,Private Equity
23482,Seed
23483,Series C
23484,Debt Financing
23485,Series B
23486,Venture - Series Unknown
23487,Debt Financing
23488,Seed
23489,Venture - Series Unknown
23490,Debt Financing
23491,Series A
23492,Series A
23493,Debt Financing
23494,Series A
23495,Venture - Series Unknown
23496,Series A
23497,Venture - Series Unknown
23498,Series B
23499,Angel
23500,Series B
23501,Debt Financing
23502,Angel
23503,Venture - Series Unknown
23504,Venture - Series Unknown
23505,Series A
23506,Seed
23507,Debt Financing
23508,Series A
23509,Debt Financing
23510,Debt Financing
23511,Series B
23512,Venture - Series Unknown
23513,Debt Financing
23514,Debt Financing
23515,Series A
23516,Series C
23517,Venture - Series Unknown
23518,Venture - Series Unknown
23519,Series A
23520,Series B
23521,Series B
23522,Private Equity
23523,Series B
23524,Series A
23525,Post-IPO Equity
23526,Series A
23527,Post-IPO Equity
23528,Series A
23529,Series A
23530,Series D
23531,Series C
23532,Venture - Series Unknown
23533,Seed
23534,Grant
23535,Seed
23536,Angel
23537,Grant
23538,Seed
23539,Venture - Series Unknown
23540,Series A
23541,Venture - Series Unknown
23542,Venture - Series Unknown
23543,Series B
23544,Venture - Series Unknown
23545,Debt Financing
23546,Post-IPO Equity
23547,Venture - Series Unknown
23548,Post-IPO Equity
23549,Series B
23550,Debt Financing
23551,Venture - Series Unknown
23552,Series B
23553,Venture - Series Unknown
23554,Series A
23555,Debt Financing
23556,Venture - Series Unknown
23557,Venture - Series Unknown
23558,Venture - Series Unknown
23559,Debt Financing
23560,Debt Financing
23561,Debt Financing
23562,Seed
23563,Series A
23564,Series D
23565,Debt Financing
23566,Debt Financing
23567,Debt Financing
23568,Seed
23569,Seed
23570,Post-IPO Debt
23571,Venture - Series Unknown
23572,Venture - Series Unknown
23573,Venture - Series Unknown
23574,Debt Financing
23575,Venture - Series Unknown
23576,Venture - Series Unknown
23577,Venture - Series Unknown
23578,Venture - Series Unknown
23579,Seed
23580,Debt Financing
23581,Venture - Series Unknown
23582,Venture - Series Unknown
23583,Venture - Series Unknown
23584,Post-IPO Equity
23585,Venture - Series Unknown
23586,Seed
23587,Series D
23588,Debt Financing
23589,Venture - Series Unknown
23590,Venture - Series Unknown
23591,Venture - Series Unknown
23592,Grant
23593,Post-IPO Equity
23594,Seed
23595,Seed
23596,Venture - Series Unknown
23597,Venture - Series Unknown
23598,Debt Financing
23599,Venture - Series Unknown
23600,Venture - Series Unknown
23601,Series A
23602,Series B
23603,Debt Financing
23604,Post-IPO Debt
23605,Seed
23606,Venture - Series Unknown
23607,Series A
23608,Venture - Series Unknown
23609,Venture - Series Unknown
23610,Venture - Series Unknown
23611,Venture - Series Unknown
23612,Venture - Series Unknown
23613,Venture - Series Unknown
23614,Debt Financing
23615,Series A
23616,Series C
23617,Venture - Series Unknown
23618,Series A
23619,Series D
23620,Series A
23621,Debt Financing
23622,Series B
23623,Series B
23624,Seed
23625,Non-equity Assistance
23626,Series B
23627,Venture - Series Unknown
23628,Series C
23629,Series B
23630,Seed
23631,Private Equity
23632,Series A
23633,Venture - Series Unknown
23634,Seed
23635,Debt Financing
23636,Venture - Series Unknown
23637,Venture - Series Unknown
23638,Debt Financing
23639,Venture - Series Unknown
23640,Venture - Series Unknown
23641,Venture - Series Unknown
23642,Series B
23643,Venture - Series Unknown
23644,Venture - Series Unknown
23645,Series A
23646,Private Equity
23647,Series A
23648,Series A
23649,Series D
23650,Seed
23651,Series A
23652,Debt Financing
23653,Venture - Series Unknown
23654,Series B
23655,Venture - Series Unknown
23656,Debt Financing
23657,Seed
23658,Series C
23659,Venture - Series Unknown
23660,Debt Financing
23661,Series B
23662,Venture - Series Unknown
23663,Debt Financing
23664,Debt Financing
23665,Venture - Series Unknown
23666,Venture - Series Unknown
23667,Series A
23668,Venture - Series Unknown
23669,Post-IPO Equity
23670,Venture - Series Unknown
23671,Venture - Series Unknown
23672,Debt Financing
23673,Debt Financing
23674,Series B
23675,Venture - Series Unknown
23676,Venture - Series Unknown
23677,Debt Financing
23678,Venture - Series Unknown
23679,Venture - Series Unknown
23680,Venture - Series Unknown
23681,Series A
23682,Venture - Series Unknown
23683,Venture - Series Unknown
23684,Venture - Series Unknown
23685,Venture - Series Unknown
23686,Venture - Series Unknown
23687,Venture - Series Unknown
23688,Debt Financing
23689,Venture - Series Unknown
23690,Seed
23691,Seed
23692,Grant
23693,Venture - Series Unknown
23694,Venture - Series Unknown
23695,Venture - Series Unknown
23696,Venture - Series Unknown
23697,Venture - Series Unknown
23698,Debt Financing
23699,Series A
23700,Private Equity
23701,Private Equity
23702,Series B
23703,Series D
23704,Venture - Series Unknown
23705,Debt Financing
23706,Venture - Series Unknown
23707,Funding Round
23708,Debt Financing
23709,Seed
23710,Venture - Series Unknown
23711,Venture - Series Unknown
23712,Series A
23713,Venture - Series Unknown
23714,Venture - Series Unknown
23715,Seed
23716,Venture - Series Unknown
23717,Series A
23718,Venture - Series Unknown
23719,Series F
23720,Debt Financing
23721,Venture - Series Unknown
23722,Seed
23723,Venture - Series Unknown
23724,Post-IPO Debt
23725,Convertible Note
23726,Seed
23727,Series A
23728,Post-IPO Equity
23729,Venture - Series Unknown
23730,Equity Crowdfunding
23731,Seed
23732,Venture - Series Unknown
23733,Series B
23734,Seed
23735,Series A
23736,Series D
23737,Seed
23738,Debt Financing
23739,Series D
23740,Debt Financing
23741,Venture - Series Unknown
23742,Venture - Series Unknown
23743,Venture - Series Unknown
23744,Venture - Series Unknown
23745,Venture - Series Unknown
23746,Debt Financing
23747,Seed
23748,Venture - Series Unknown
23749,Series B
23750,Venture - Series Unknown
23751,Seed
23752,Debt Financing
23753,Venture - Series Unknown
23754,Seed
23755,Series C
23756,Debt Financing
23757,Seed
23758,Equity Crowdfunding
23759,Venture - Series Unknown
23760,Venture - Series Unknown
23761,Seed
23762,Venture - Series Unknown
23763,Venture - Series Unknown
23764,Venture - Series Unknown
23765,Equity Crowdfunding
23766,Debt Financing
23767,Venture - Series Unknown
23768,Debt Financing
23769,Venture - Series Unknown
23770,Debt Financing
23771,Debt Financing
23772,Seed
23773,Series C
23774,Venture - Series Unknown
23775,Venture - Series Unknown
23776,Convertible Note
23777,Venture - Series Unknown
23778,Private Equity
23779,Venture - Series Unknown
23780,Series C
23781,Series D
23782,Series C
23783,Debt Financing
23784,Debt Financing
23785,Seed
23786,Debt Financing
23787,Venture - Series Unknown
23788,Debt Financing
23789,Seed
23790,Debt Financing
23791,Debt Financing
23792,Grant
23793,Venture - Series Unknown
23794,Debt Financing
23795,Venture - Series Unknown
23796,Venture - Series Unknown
23797,Post-IPO Equity
23798,Debt Financing
23799,Post-IPO Equity
23800,Venture - Series Unknown
23801,Series C
23802,Venture - Series Unknown
23803,Venture - Series Unknown
23804,Debt Financing
23805,Series A
23806,Venture - Series Unknown
23807,Venture - Series Unknown
23808,Venture - Series Unknown
23809,Venture - Series Unknown
23810,Seed
23811,Venture - Series Unknown
23812,Debt Financing
23813,Debt Financing
23814,Series A
23815,Series C
23816,Debt Financing
23817,Venture - Series Unknown
23818,Debt Financing
23819,Debt Financing
23820,Venture - Series Unknown
23821,Venture - Series Unknown
23822,Venture - Series Unknown
23823,Venture - Series Unknown
23824,Debt Financing
23825,Venture - Series Unknown
23826,Venture - Series Unknown
23827,Venture - Series Unknown
23828,Series B
23829,Post-IPO Debt
23830,Venture - Series Unknown
23831,Post-IPO Equity
23832,Venture - Series Unknown
23833,Venture - Series Unknown
23834,Series C
23835,Venture - Series Unknown
23836,Post-IPO Equity
23837,Series C
23838,Post-IPO Equity
23839,Venture - Series Unknown
23840,Seed
23841,Debt Financing
23842,Seed
23843,Debt Financing
23844,Venture - Series Unknown
23845,Venture - Series Unknown
23846,Series B
23847,Debt Financing
23848,Seed
23849,Venture - Series Unknown
23850,Series D
23851,Seed
23852,Venture - Series Unknown
23853,Venture - Series Unknown
23854,Series A
23855,Series C
23856,Series C
23857,Series A
23858,Debt Financing
23859,Venture - Series Unknown
23860,Venture - Series Unknown
23861,Series A
23862,Seed
23863,Series A
23864,Venture - Series Unknown
23865,Venture - Series Unknown
23866,Seed
23867,Debt Financing
23868,Venture - Series Unknown
23869,Venture - Series Unknown
23870,Venture - Series Unknown
23871,Series A
23872,Venture - Series Unknown
23873,Venture - Series Unknown
23874,Venture - Series Unknown
23875,Post-IPO Equity
23876,Venture - Series Unknown
23877,Series E
23878,Venture - Series Unknown
23879,Pre-Seed
23880,Seed
23881,Series A
23882,Seed
23883,Series A
23884,Debt Financing
23885,Series C
23886,Venture - Series Unknown
23887,Venture - Series Unknown
23888,Venture - Series Unknown
23889,Venture - Series Unknown
23890,Series A
23891,Debt Financing
23892,Series C
23893,Venture - Series Unknown
23894,Venture - Series Unknown
23895,Venture - Series Unknown
23896,Venture - Series Unknown
23897,Venture - Series Unknown
23898,Seed
23899,Seed
23900,Venture - Series Unknown
23901,Debt Financing
23902,Grant
23903,Series C
23904,Series B
23905,Series A
23906,Venture - Series Unknown
23907,Venture - Series Unknown
23908,Seed
23909,Post-IPO Equity
23910,Venture - Series Unknown
23911,Series B
23912,Venture - Series Unknown
23913,Venture - Series Unknown
23914,Venture - Series Unknown
23915,Series B
23916,Series A
23917,Post-IPO Equity
23918,Venture - Series Unknown
23919,Post-IPO Equity
23920,Private Equity
23921,Series A
23922,Seed
23923,Series D
23924,Post-IPO Debt
23925,Series A
23926,Venture - Series Unknown
23927,Series A
23928,Debt Financing
23929,Series C
23930,Debt Financing
23931,Seed
23932,Series C
23933,Series A
23934,Debt Financing
23935,Private Equity
23936,Seed
23937,Venture - Series Unknown
23938,Debt Financing
23939,Series E
23940,Series A
23941,Debt Financing
23942,Series C
23943,Venture - Series Unknown
23944,Venture - Series Unknown
23945,Venture - Series Unknown
23946,Venture - Series Unknown
23947,Venture - Series Unknown
23948,Seed
23949,Seed
23950,Venture - Series Unknown
23951,Debt Financing
23952,Grant
23953,Series C
23954,Series B
23955,Series A
23956,Venture - Series Unknown
23957,Venture - Series Unknown
23958,Seed
23959,Post-IPO Equity
23960,Venture - Series Unknown
23961,Series B
23962,Venture - Series Unknown
23963,Venture - Series Unknown
23964,Venture - Series Unknown
23965,Series B
23966,Series A
23967,Post-IPO Equity
23968,Venture - Series Unknown
23969,Post-IPO Equity
23970,Private Equity
23971,Series A
23972,Seed
23973,Series D
23974,Post-IPO Debt
23975,Series A
23976,Venture - Series Unknown
23977,Series A
23978,Debt Financing
23979,Series C
23980,Debt Financing
23981,Seed
23982,Series C
23983,Series A
23984,Debt Financing
23985,Private Equity
23986,Seed
23987,Venture - Series Unknown
23988,Debt Financing
23989,Series E
23990,Venture - Series Unknown
23991,Debt Financing
23992,Seed
23993,Series F
23994,Series A
23995,Pre-Seed
23996,Series A
23997,Venture - Series Unknown
23998,Series A
23999,Seed
24000,Series C
24001,Debt Financing
24002,Venture - Series Unknown
24003,Debt Financing
24004,Series C
24005,Funding Round
24006,Series B
24007,Grant
24008,Grant
24009,Grant
24010,Grant
24011,Series A
24012,Seed
24013,Series B
24014,Grant
24015,Seed
24016,Seed
24017,Funding Round
24018,Seed
24019,Venture - Series Unknown
24020,Grant
24021,Venture - Series Unknown
24022,Series D
24023,Series A
24024,Grant
24025,Seed
24026,Grant
24027,Grant
24028,Grant
24029,Grant
24030,Debt Financing
24031,Post-IPO Equity
24032,Venture - Series Unknown
24033,Debt Financing
24034,Series A
24035,Series C
24036,Venture - Series Unknown
24037,Debt Financing
24038,Venture - Series Unknown
24039,Venture - Series Unknown
24040,Series B
24041,Debt Financing
24042,Venture - Series Unknown
24043,Post-IPO Equity
24044,Secondary Market
24045,Series A
24046,Series C
24047,Post-IPO Equity
24048,Venture - Series Unknown
24049,Debt Financing
24050,Series B
24051,Series C
24052,Series B
24053,Venture - Series Unknown
24054,Seed
24055,Debt Financing
24056,Series A
24057,Venture - Series Unknown
24058,Venture - Series Unknown
24059,Post-IPO Equity
24060,Venture - Series Unknown
24061,Series A
24062,Series C
24063,Grant
24064,Series D
24065,Grant
24066,Post-IPO Equity
24067,Series A
24068,Grant
24069,Convertible Note
24070,Series C
24071,Venture - Series Unknown
24072,Post-IPO Equity
24073,Series B
24074,Grant
24075,Seed
24076,Series C
24077,Series A
24078,Venture - Series Unknown
24079,Series A
24080,Series B
24081,Venture - Series Unknown
24082,Post-IPO Equity
24083,Series A
24084,Series B
24085,Seed
24086,Seed
24087,Series C
24088,Series B
24089,Series A
24090,Post-IPO Equity
24091,Venture - Series Unknown
24092,Private Equity
24093,Series B
24094,Venture - Series Unknown
24095,Series A
24096,Seed
24097,Seed
24098,Venture - Series Unknown
24099,Series D
24100,Series B
24101,Series A
24102,Debt Financing
24103,Grant
24104,Seed
24105,Venture - Series Unknown
24106,Series A
24107,Venture - Series Unknown
24108,Venture - Series Unknown
24109,Series B
24110,Venture - Series Unknown
24111,Venture - Series Unknown
24112,Grant
24113,Venture - Series Unknown
24114,Venture - Series Unknown
24115,Series E
24116,Venture - Series Unknown
24117,Venture - Series Unknown
24118,Series C
24119,Venture - Series Unknown
24120,Series B
24121,Venture - Series Unknown
24122,Series A
24123,Debt Financing
24124,Series A
24125,Series B
24126,Debt Financing
24127,Debt Financing
24128,Series A
24129,Series E
24130,Series C
24131,Venture - Series Unknown
24132,Venture - Series Unknown
24133,Angel
24134,Seed
24135,Pre-Seed
24136,Non-equity Assistance
24137,Venture - Series Unknown
24138,Venture - Series Unknown
24139,Venture - Series Unknown
24140,Angel
24141,Seed
24142,Private Equity
24143,Private Equity
24144,Post-IPO Equity
24145,Venture - Series Unknown
24146,Seed
24147,Venture - Series Unknown
24148,Non-equity Assistance
24149,Private Equity
24150,Series A
24151,Venture - Series Unknown
24152,Grant
24153,Seed
24154,Series A
24155,Venture - Series Unknown
24156,Venture - Series Unknown
24157,Venture - Series Unknown
24158,Seed
24159,Funding Round
24160,Venture - Series Unknown
24161,Venture - Series Unknown
24162,Series B
24163,Private Equity
24164,Venture - Series Unknown
24165,Series D
24166,Seed
24167,Seed
24168,Seed
24169,Series A
24170,Series A
24171,Private Equity
24172,Private Equity
24173,Series A
24174,Debt Financing
24175,Private Equity
24176,Venture - Series Unknown
24177,Series C
24178,Venture - Series Unknown
24179,Venture - Series Unknown
24180,Seed
24181,Series A
24182,Debt Financing
24183,Seed
24184,Series A
24185,Seed
24186,Venture - Series Unknown
24187,Venture - Series Unknown
24188,Seed
24189,Venture - Series Unknown
24190,Venture - Series Unknown
24191,Venture - Series Unknown
24192,Series A
24193,Series D
24194,Series A
24195,Series B
24196,Venture - Series Unknown
24197,Series B
24198,Venture - Series Unknown
24199,Series A
24200,Seed
24201,Series A
24202,Equity Crowdfunding
24203,Grant
24204,Series A
24205,Seed
24206,Series A
24207,Series D
24208,Angel
24209,Series B
24210,Series A
24211,Venture - Series Unknown
24212,Venture - Series Unknown
24213,Venture - Series Unknown
24214,Series D
24215,Series G
24216,Grant
24217,Post-IPO Equity
24218,Private Equity
24219,Venture - Series Unknown
24220,Grant
24221,Venture - Series Unknown
24222,Venture - Series Unknown
24223,Series A
24224,Venture - Series Unknown
24225,Venture - Series Unknown
24226,Series B
24227,Series A
24228,Seed
24229,Series A
24230,Venture - Series Unknown
24231,Venture - Series Unknown
24232,Series A
24233,Series D
24234,Series C
24235,Venture - Series Unknown
24236,Venture - Series Unknown
24237,Debt Financing
24238,Equity Crowdfunding
24239,Debt Financing
24240,Private Equity
24241,Venture - Series Unknown
24242,Series A
24243,Series A
24244,Equity Crowdfunding
24245,Private Equity
24246,Venture - Series Unknown
24247,Series C
24248,Equity Crowdfunding
24249,Equity Crowdfunding
24250,Equity Crowdfunding
24251,Angel
24252,Series C
24253,Debt Financing
24254,Series C
24255,Venture - Series Unknown
24256,Series C
24257,Seed
24258,Venture - Series Unknown
24259,Series D
24260,Series A
24261,Private Equity
24262,Series C
24263,Series C
24264,Debt Financing
24265,Private Equity
24266,Venture - Series Unknown
24267,Venture - Series Unknown
24268,Angel
24269,Series A
24270,Seed
24271,Post-IPO Equity
24272,Grant
24273,Series A
24274,Series B
24275,Seed
24276,Angel
24277,Seed
24278,Series A
24279,Venture - Series Unknown
24280,Venture - Series Unknown
24281,Seed
24282,Private Equity
24283,Post-IPO Equity
24284,Private Equity
24285,Series A
24286,Venture - Series Unknown
24287,Seed
24288,Series A
24289,Series B
24290,Series C
24291,Series A
24292,Series B
24293,Venture - Series Unknown
24294,Venture - Series Unknown
24295,Series B
24296,Seed
24297,Post-IPO Equity
24298,Series B
24299,Series A
24300,Series B
24301,Series A
24302,Series F
24303,Series D
24304,Series C
24305,Series B
24306,Seed
24307,Series C
24308,Series B
24309,Series B
24310,Corporate Round
24311,Series B
24312,Venture - Series Unknown
24313,Series B
24314,Series E
24315,Venture - Series Unknown
24316,Venture - Series Unknown
24317,Seed
24318,Series A
24319,Series A
24320,Series A
24321,Series A
24322,Series A
24323,Series B
24324,Venture - Series Unknown
24325,Series D
24326,Venture - Series Unknown
24327,Venture - Series Unknown
24328,Seed
24329,Series G
24330,Series B
24331,Series E
24332,Series A
24333,Series E
24334,Venture - Series Unknown
24335,Series B
24336,Venture - Series Unknown
24337,Series A
24338,Series B
24339,Series A
24340,Series B
24341,Pre-Seed
24342,Series B
24343,Series A
24344,Venture - Series Unknown
24345,Series B
24346,Venture - Series Unknown
24347,Debt Financing
24348,Venture - Series Unknown
24349,Grant
24350,Grant
24351,Series A
24352,Grant
24353,Series D
24354,Seed
24355,Angel
24356,Series A
24357,Convertible Note
24358,Series C
24359,Series A
24360,Venture - Series Unknown
24361,Seed
24362,Post-IPO Equity
24363,Grant
24364,Series A
24365,Series E
24366,Series A
24367,Series C
24368,Series A
24369,Series C
24370,Series A
24371,Series B
24372,Series B
24373,Series A
24374,Series B
24375,Series A
24376,Series A
24377,Private Equity
24378,Series B
24379,Series B
24380,Funding Round
24381,Angel
24382,Seed
24383,Seed
24384,Grant
24385,Series A
24386,Venture - Series Unknown
24387,Seed
24388,Series D
24389,Series C
24390,Venture - Series Unknown
24391,Series A
24392,Grant
24393,Grant
24394,Series A
24395,Debt Financing
24396,Venture - Series Unknown
24397,Venture - Series Unknown
24398,Series A
24399,Series A
24400,Post-IPO Equity
24401,Private Equity
24402,Series A
24403,Post-IPO Equity
24404,Seed
24405,Series B
24406,Venture - Series Unknown
24407,Series A
24408,Venture - Series Unknown
24409,Venture - Series Unknown
24410,Series B
24411,Seed
24412,Private Equity
24413,Series D
24414,Venture - Series Unknown
24415,Series A
24416,Seed
24417,Series A
24418,Series B
24419,Series A
24420,Seed
24421,Series F
24422,Venture - Series Unknown
24423,Series C
24424,Series B
24425,Series B
24426,Series E
24427,Series C
24428,Series B
24429,Series C
24430,Series B
24431,Venture - Series Unknown
24432,Equity Crowdfunding
24433,Series F
24434,Series B
24435,Series A
24436,Venture - Series Unknown
24437,Seed
24438,Series D
24439,Series B
24440,Seed
24441,Series D
24442,Series B
24443,Seed
24444,Series B
24445,Private Equity
24446,Venture - Series Unknown
24447,Series A
24448,Debt Financing
24449,Venture - Series Unknown
24450,Series A
24451,Series E
24452,Series B
24453,Series A
24454,Series C
24455,Series C
24456,Seed
24457,Series D
24458,Series A
24459,Venture - Series Unknown
24460,Series B
24461,Series A
24462,Series C
24463,Series E
24464,Series B
24465,Debt Financing
24466,Series B
24467,Private Equity
24468,Series C
24469,Venture - Series Unknown
24470,Series D
24471,Series A
24472,Series B
24473,Series C
24474,Series D
24475,Series C
24476,Debt Financing
24477,Post-IPO Equity
24478,Series C
24479,Series B
24480,Venture - Series Unknown
24481,Series A
24482,Venture - Series Unknown
24483,Series C
24484,Debt Financing
24485,Seed
24486,Series B
24487,Series A
24488,Series A
24489,Series E
24490,Venture - Series Unknown
24491,Venture - Series Unknown
24492,Series B
24493,Seed
24494,Series D
24495,Seed
24496,Series A
24497,Series C
24498,Series A
24499,Series C
24500,Series A
24501,Series C
24502,Series B
24503,Grant
24504,Series B
24505,Series A
24506,Venture - Series Unknown
24507,Venture - Series Unknown
24508,Series C
24509,Seed
24510,Private Equity
24511,Private Equity
24512,Private Equity
24513,Post-IPO Equity
24514,Series A
24515,Angel
24516,Series A
24517,Secondary Market
24518,Venture - Series Unknown
24519,Venture - Series Unknown
24520,Venture - Series Unknown
24521,Series A
24522,Series B
24523,Post-IPO Equity
24524,Series A
24525,Venture - Series Unknown
24526,Series C
24527,Series C
24528,Series C
24529,Series A
24530,Series A
24531,Series B
24532,Series A
24533,Venture - Series Unknown
24534,Venture - Series Unknown
24535,Venture - Series Unknown
24536,Series E
24537,Seed
24538,Series D
24539,Venture - Series Unknown
24540,Series F
24541,Series A
24542,Series A
24543,Venture - Series Unknown
24544,Series C
24545,Series C
24546,Series A
24547,Series C
24548,Series A
24549,Series B
24550,Seed
24551,Venture - Series Unknown
24552,Venture - Series Unknown
24553,Venture - Series Unknown
24554,Series A
24555,Venture - Series Unknown
24556,Series D
24557,Venture - Series Unknown
24558,Venture - Series Unknown
24559,Venture - Series Unknown
24560,Venture - Series Unknown
24561,Private Equity
24562,Venture - Series Unknown
24563,Series A
24564,Series C
24565,Venture - Series Unknown
24566,Venture - Series Unknown
24567,Venture - Series Unknown
24568,Venture - Series Unknown
24569,Private Equity
24570,Seed
24571,Series A
24572,Private Equity
24573,Series A
24574,Funding Round
24575,Venture - Series Unknown
24576,Seed
24577,Series C
24578,Seed
24579,Venture - Series Unknown
24580,Series C
24581,Venture - Series Unknown
24582,Venture - Series Unknown
24583,Grant
24584,Convertible Note
24585,Series B
24586,Series A
24587,Series B
24588,Funding Round
24589,Corporate Round
24590,Angel
24591,Series B
24592,Series D
24593,Series C
24594,Venture - Series Unknown
24595,Series B
24596,Grant
24597,Venture - Series Unknown
24598,Series C
24599,Series A
24600,Series A
24601,Series C
24602,Venture - Series Unknown
24603,Series A
24604,Venture - Series Unknown
24605,Series A
24606,Series D
24607,Venture - Series Unknown
24608,Series A
24609,Post-IPO Equity
24610,Series A
24611,Series C
24612,Venture - Series Unknown
24613,Series A
24614,Series D
24615,Series A
24616,Convertible Note
24617,Series A
24618,Series B
24619,Series B
24620,Series C
24621,Venture - Series Unknown
24622,Series B
24623,Series A
24624,Series E
24625,Series A
24626,Series A
24627,Series C
24628,Venture - Series Unknown
24629,Venture - Series Unknown
24630,Series C
24631,Series B
24632,Venture - Series Unknown
24633,Venture - Series Unknown
24634,Private Equity
24635,Debt Financing
24636,Series A
24637,Venture - Series Unknown
24638,Series B
24639,Series A
24640,Corporate Round
24641,Venture - Series Unknown
24642,Series D
24643,Series E
24644,Venture - Series Unknown
24645,Venture - Series Unknown
24646,Series A
24647,Series B
24648,Series B
24649,Series C
24650,Series B
24651,Series C
24652,Series A
24653,Venture - Series Unknown
24654,Debt Financing
24655,Series B
24656,Seed
24657,Series B
24658,Seed
24659,Series A
24660,Seed
24661,Series C
24662,Post-IPO Equity
24663,Series A
24664,Convertible Note
24665,Series C
24666,Series A
24667,Equity Crowdfunding
24668,Series A
24669,Series C
24670,Venture - Series Unknown
24671,Series D
24672,Seed
24673,Venture - Series Unknown
24674,Series D
24675,Venture - Series Unknown
24676,Series B
24677,Venture - Series Unknown
24678,Series A
24679,Series A
24680,Venture - Series Unknown
24681,Series B
24682,Private Equity
24683,Seed
24684,Series C
24685,Series C
24686,Venture - Series Unknown
24687,Series A
24688,Venture - Series Unknown
24689,Series B
24690,Series A
24691,Series B
24692,Series C
24693,Series A
24694,Post-IPO Equity
24695,Series C
24696,Venture - Series Unknown
24697,Series B
24698,Series B
24699,Series A
24700,Series G
24701,Venture - Series Unknown
24702,Series C
24703,Series A
24704,Venture - Series Unknown
24705,Venture - Series Unknown
24706,Series A
24707,Series C
24708,Seed
24709,Series A
24710,Series A
24711,Series A
24712,Series A
24713,Series C
24714,Series C
24715,Series B
24716,Series A
24717,Venture - Series Unknown
24718,Series C
24719,Series C
24720,Grant
24721,Grant
24722,Venture - Series Unknown
24723,Venture - Series Unknown
24724,Private Equity
24725,Series A
24726,Series B
24727,Series A
24728,Series G
24729,Series A
24730,Series F
24731,Seed
24732,Series A
24733,Grant
24734,Grant
24735,Grant
24736,Grant
24737,Seed
24738,Series A
24739,Series B
24740,Series C
24741,Series B
24742,Series A
24743,Private Equity
24744,Grant
24745,Grant
24746,Convertible Note
24747,Series A
24748,Series A
24749,Venture - Series Unknown
24750,Series E
24751,Series A
24752,Series A
24753,Seed
24754,Venture - Series Unknown
24755,Series C
24756,Series E
24757,Grant
24758,Venture - Series Unknown
24759,Series A
24760,Series A
24761,Venture - Series Unknown
24762,Series B
24763,Series A
24764,Venture - Series Unknown
24765,Series B
24766,Venture - Series Unknown
24767,Series B
24768,Series C
24769,Series B
24770,Series B
24771,Grant
24772,Series B
24773,Seed
24774,Series A
